"Nom de l'église";"Ville";"Région";"Adresse complète";"Pasteur / Responsable";"Actif"
"Église évangélique de Pentecôte";"Narbonne";"Occitanie";"N/A";"N/A";"Oui"
"Église évangélique ADD Villefranche-de-Rouergue";"Villefranche-de-Rouergue";"Occitanie";"N/A";"N/A";"Oui"
"Église évangélique de Pentecôte ADD de Rodez";"Rodez";"Occitanie";"N/A";"N/A";"Oui"
"Église protestante évangélique ADD de Decazeville";"Decazeville";"Occitanie";"N/A";"N/A";"Oui"
"Assemblée de Dieu";"Port-de-Bouc";"Provence-Alpes-Côte d'Azur";"N/A";"N/A";"Oui"
"Assemblée de Dieu";"La Ciotat";"Provence-Alpes-Côte d'Azur";"N/A";"N/A";"Oui"
"Assemblée de Dieu";"Marseille";"Provence-Alpes-Côte d'Azur";"N/A";"N/A";"Oui"
"Assemblée de Dieu d'Aix-en-Provence";"Aix-en-Provence";"Provence-Alpes-Côte d'Azur";"N/A";"N/A";"Oui"
"Assemblée de Dieu de Marseille-Sud";"Marseille";"Provence-Alpes-Côte d'Azur";"N/A";"N/A";"Oui"
"Assemblée de Dieu de Martigues";"Martigues";"Provence-Alpes-Côte d'Azur";"N/A";"N/A";"Oui"
"Assemblées de Dieu Église évangélique";"Vitrolles";"Provence-Alpes-Côte d'Azur";"N/A";"N/A";"Oui"
"Centre évangélique";"Marseille";"Provence-Alpes-Côte d'Azur";"N/A";"N/A";"Oui"
"Église évangélique";"Arles";"Provence-Alpes-Côte d'Azur";"N/A";"N/A";"Oui"
"Église évangélique d'Aubagne";"Aubagne";"Provence-Alpes-Côte d'Azur";"N/A";"N/A";"Oui"
"Église évangélique de Pentecôte";"Istres";"Provence-Alpes-Côte d'Azur";"N/A";"N/A";"Oui"
"Église évangélique Marseille Est";"Marseille";"Provence-Alpes-Côte d'Azur";"N/A";"N/A";"Oui"
"La Nouvelle Arche – Église évangélique de Marignane";"Marignane";"Provence-Alpes-Côte d'Azur";"N/A";"N/A";"Oui"
"Église évangélique";"Vire";"Normandie";"N/A";"N/A";"Oui"
"Église évangélique";"Lisieux";"Normandie";"N/A";"N/A";"Oui"
"Église évangélique";"Mezidon Canon";"Normandie";"N/A";"N/A";"Oui"
"Église évangélique d'Honfleur / Trouville";"Trouville Sur Mer";"Normandie";"N/A";"N/A";"Oui"
"Église évangélique de Caen";"Caen";"Normandie";"N/A";"N/A";"Oui"
"Église évangélique";"Morteaux Couliboeuf";"Normandie";"N/A";"N/A";"Oui"
"Église évangélique";"Aurillac";"Auvergne-Rhône-Alpes";"N/A";"N/A";"Oui"
"Assemblée de Dieu";"Mansle";"Nouvelle-Aquitaine";"N/A";"N/A";"Oui"
"Église évangélique";"Angoulême";"Nouvelle-Aquitaine";"N/A";"N/A";"Oui"
"Église évangélique de Cognac";"Cognac";"Nouvelle-Aquitaine";"N/A";"N/A";"Oui"
"Église évangélique";"La Rochelle";"Nouvelle-Aquitaine";"N/A";"N/A";"Oui"
"Église évangélique de Royan";"Royan";"Nouvelle-Aquitaine";"N/A";"N/A";"Oui"
"Église évangélique Espérance ADD";"Saintes";"Nouvelle-Aquitaine";"N/A";"N/A";"Oui"
"Assemblée de Dieu de Bourges";"Bourges";"Centre-Val de Loire";"N/A";"N/A";"Oui"
"Église évangélique";"Vierzon";"Centre-Val de Loire";"N/A";"N/A";"Oui"
"Église évangélique";"Brive-la-Gaillarde";"Nouvelle-Aquitaine";"N/A";"N/A";"Oui"
"Église évangélique";"Ussel";"Nouvelle-Aquitaine";"N/A";"N/A";"Oui"
"Église évangélique";"Tulle";"Nouvelle-Aquitaine";"N/A";"N/A";"Oui"
"Assemblée de Dieu";"Semur En Auxois";"Bourgogne-Franche-Comté";"N/A";"N/A";"Oui"
"Église évangélique";"Beaune";"Bourgogne-Franche-Comté";"N/A";"N/A";"Oui"
"Église évangélique";"Dijon";"Bourgogne-Franche-Comté";"N/A";"N/A";"Oui"
"Église évangélique";"Guéret";"Nouvelle-Aquitaine";"N/A";"N/A";"Oui"
"Église évangélique Assemblée de Dieu";"Périgueux";"Nouvelle-Aquitaine";"N/A";"N/A";"Oui"
"Église évangélique ADD de Sarlat";"Sarlat La Caneda";"Nouvelle-Aquitaine";"N/A";"N/A";"Oui"
"Église protestante évangélique ADD Bergerac";"Bergerac";"Nouvelle-Aquitaine";"N/A";"N/A";"Oui"
"Mission évangélique";"Terrasson La Villedieu";"Nouvelle-Aquitaine";"N/A";"N/A";"Oui"
"Église 1Pulsion";"Besançon";"Bourgogne-Franche-Comté";"N/A";"N/A";"Oui"
"Assemblée de Dieu";"Montélimar";"Auvergne-Rhône-Alpes";"N/A";"N/A";"Oui"
"Assemblée de Dieu";"Nyons";"Auvergne-Rhône-Alpes";"N/A";"N/A";"Oui"
"Église évangélique";"Romans-sur-Isère";"Auvergne-Rhône-Alpes";"N/A";"N/A";"Oui"
"Église évangélique de Pentecôte";"Valence";"Auvergne-Rhône-Alpes";"N/A";"N/A";"Oui"
"Assemblée de Dieu de Drucourt";"Drucourt";"Normandie";"N/A";"N/A";"Oui"
"Centre évangélique";"Évreux";"Normandie";"N/A";"N/A";"Oui"
"Église évangélique";"Vernon";"Normandie";"N/A";"N/A";"Oui"
"Église évangélique";"Les Andelys";"Normandie";"N/A";"N/A";"Oui"
"Église évangélique";"Conches En Ouche";"Normandie";"N/A";"N/A";"Oui"
"Église évangélique";"Serquigny";"Normandie";"N/A";"N/A";"Oui"
"Église évangélique";"Louviers";"Normandie";"N/A";"N/A";"Oui"
"Église évangélique d'Évreux";"Évreux";"Normandie";"N/A";"N/A";"Oui"
"Église Source de Siloé de Gisors";"Gisors";"Normandie";"N/A";"N/A";"Oui"
"Assemblée de Dieu";"Nogent Le Rotrou";"Centre-Val de Loire";"N/A";"N/A";"Oui"
"Assemblée de Dieu de Chartres Mainvilliers";"Mainvilliers";"Centre-Val de Loire";"N/A";"N/A";"Oui"
"Église évangélique";"Maintenon";"Centre-Val de Loire";"N/A";"N/A";"Oui"
"Église évangélique de Dreux";"Dreux";"Centre-Val de Loire";"N/A";"N/A";"Oui"
"Église évangélique de la Rencontre";"Lutz En Dunois";"Centre-Val de Loire";"N/A";"N/A";"Oui"
"Centre évangélique";"Loperhet";"Bretagne";"N/A";"N/A";"Oui"
"Centre évangélique de Pentecôte";"Concarneau";"Bretagne";"N/A";"N/A";"Oui"
"Église évangélique de Botsorhel";"Botsorhel";"Bretagne";"N/A";"N/A";"Oui"
"Église évangélique de Léchiagat";"Treffiagat";"Bretagne";"N/A";"N/A";"Oui"
"Église Nouveau Départ";"Quimper";"Bretagne";"N/A";"N/A";"Oui"
"Église Nouvel Espoir";"Brest";"Bretagne";"N/A";"N/A";"Oui"
"Assemblée de Dieu";"Ajaccio";"Corse";"N/A";"N/A";"Oui"
"Église évangélique";"Porto Vecchio";"Corse";"N/A";"N/A";"Oui"
"Église évangélique Porticcio";"Porticcio";"Corse";"N/A";"N/A";"Oui"
"Église évangélique Propriano";"Propriano";"Corse";"N/A";"N/A";"Oui"
"Assemblée de Dieu de Bastia";"Furiani";"Corse";"N/A";"N/A";"Oui"
"Assemblée de Dieu de Corte";"Corte";"Corse";"N/A";"N/A";"Oui"
"Église évangélique";"L'ile Rousse";"Corse";"N/A";"N/A";"Oui"
"Assemblée de Dieu";"Nîmes";"Occitanie";"N/A";"N/A";"Oui"
"Assemblée de Dieu";"Alès";"Occitanie";"N/A";"N/A";"Oui"
"Assemblée de Dieu";"Quissac";"Occitanie";"N/A";"N/A";"Oui"
"Assemblée de Dieu";"Saint-Jean-du-Gard";"Occitanie";"N/A";"N/A";"Oui"
"Centre évangélique";"Uzès";"Occitanie";"N/A";"N/A";"Oui"
"Assemblée de Dieu";"Saint-Gaudens";"Occitanie";"N/A";"N/A";"Oui"
"ADD – Église évangélique de Villemur-sur-Tarn";"Villemur-sur-Tarn";"Occitanie";"N/A";"N/A";"Oui"
"Assemblée de Dieu Toulouse Ouest";"Toulouse";"Occitanie";"N/A";"N/A";"Oui"
"Connexion Jolimont";"Toulouse";"Occitanie";"N/A";"N/A";"Oui"
"Église Connexion";"Toulouse";"Occitanie";"N/A";"N/A";"Oui"
"Église évangélique";"Muret";"Occitanie";"N/A";"N/A";"Oui"
"Église évangélique";"Cazères";"Occitanie";"N/A";"N/A";"Oui"
"Église évangélique Toulouse Saint-Agne";"Toulouse";"Occitanie";"N/A";"N/A";"Oui"
"Horizon Colomiers";"Colomiers";"Occitanie";"N/A";"N/A";"Oui"
"Centre évangélique du Gers";"Condom";"Occitanie";"N/A";"N/A";"Oui"
"Église évangélique de Gascogne";"Auch";"Occitanie";"N/A";"N/A";"Oui"
"Église évangélique de Gascogne";"Nogaro";"Occitanie";"N/A";"N/A";"Oui"
"Assemblée de Dieu";"Pauillac";"Nouvelle-Aquitaine";"N/A";"N/A";"Oui"
"Église Bordeaux Ouest";"Mérignac";"Nouvelle-Aquitaine";"N/A";"N/A";"Oui"
"Église Bordeaux Rive Droite – Momentum";"Lormont";"Nouvelle-Aquitaine";"N/A";"N/A";"Oui"
"Église évangélique ADD Libourne";"Libourne";"Nouvelle-Aquitaine";"N/A";"N/A";"Oui"
"Église évangélique de Bordeaux";"Bordeaux";"Nouvelle-Aquitaine";"N/A";"N/A";"Oui"
"Église évangélique des Graves";"Léognan";"Nouvelle-Aquitaine";"N/A";"N/A";"Oui"
"Église évangélique du Bassin d'Arcachon";"La Teste-de-Buch";"Nouvelle-Aquitaine";"N/A";"N/A";"Oui"
"Église évangélique Parole du Salut";"Bruges";"Nouvelle-Aquitaine";"N/A";"N/A";"Oui"
"Assemblée de Dieu";"Agde";"Occitanie";"N/A";"N/A";"Oui"
"Assemblée de Dieu de Béziers";"Béziers";"Occitanie";"N/A";"N/A";"Oui"
"Église évangélique";"Pézenas";"Occitanie";"N/A";"N/A";"Oui"
"Église évangélique";"Bédarieux";"Occitanie";"N/A";"N/A";"Oui"
"Église évangélique";"Sète";"Occitanie";"N/A";"N/A";"Oui"
"Église évangélique ADD Montpellier Richter";"Montpellier";"Occitanie";"N/A";"N/A";"Oui"
"Église évangélique de Pentecôte";"Ganges";"Occitanie";"N/A";"N/A";"Oui"
"Église évangélique de Pentecôte";"Montpellier";"Occitanie";"N/A";"N/A";"Oui"
"Église évangélique de Pentecôte";"Lunel";"Occitanie";"N/A";"N/A";"Oui"
"Église du Thabor";"Rennes";"Bretagne";"N/A";"N/A";"Oui"
"Église évangélique de Tinténiac";"Tinténiac";"Bretagne";"N/A";"N/A";"Oui"
"Église évangélique Espoir et Vie";"Saint-Malo";"Bretagne";"N/A";"N/A";"Oui"
"Église protestante évangélique";"Fougères";"Bretagne";"N/A";"N/A";"Oui"
"Église protestante évangélique de Redon";"Redon";"Bretagne";"N/A";"N/A";"Oui"
"Assemblée de Dieu";"Le Blanc";"Centre-Val de Loire";"N/A";"N/A";"Oui"
"Église évangélique";"Le Poinçonnet";"Centre-Val de Loire";"N/A";"N/A";"Oui"
"Assemblée de Dieu langue portugaise";"Tours";"Centre-Val de Loire";"N/A";"N/A";"Oui"
"Église évangélique du Val d'Amboise";"Amboise";"Centre-Val de Loire";"N/A";"N/A";"Oui"
"Église Tours Métropole";"Tours";"Centre-Val de Loire";"N/A";"N/A";"Oui"
"Assemblée de Dieu Temple Protestant";"La Mûre";"Auvergne-Rhône-Alpes";"N/A";"N/A";"Oui"
"Centre évangélique";"Chavanoz";"Auvergne-Rhône-Alpes";"N/A";"N/A";"Oui"
"Centre évangélique de Pentecôte";"Vienne";"Auvergne-Rhône-Alpes";"N/A";"N/A";"Oui"
"Église évangélique";"Bourgoin-Jallieu";"Auvergne-Rhône-Alpes";"N/A";"N/A";"Oui"
"Église évangélique";"Grenoble";"Auvergne-Rhône-Alpes";"N/A";"N/A";"Oui"
"Église évangélique du Péage-de-Roussillon";"Le Péage-de-Roussillon";"Auvergne-Rhône-Alpes";"N/A";"N/A";"Oui"
"Église Vals d'Espoir";"La Tour du Pin";"Auvergne-Rhône-Alpes";"N/A";"N/A";"Oui"
"Église évangélique";"Saint-Claude";"Bourgogne-Franche-Comté";"N/A";"N/A";"Oui"
"Église évangélique";"Lons-le-Saunier";"Bourgogne-Franche-Comté";"N/A";"N/A";"Oui"
"Église évangélique";"Dax";"Nouvelle-Aquitaine";"N/A";"N/A";"Oui"
"Église évangélique de Mont-de-Marsan";"Saint-Pierre-du-Mont";"Nouvelle-Aquitaine";"N/A";"N/A";"Oui"
"Église évangélique de Tartas";"Tartas";"Nouvelle-Aquitaine";"N/A";"N/A";"Oui"
"Église évangélique de Pentecôte";"Blois";"Centre-Val de Loire";"N/A";"N/A";"Oui"
"ADD Église Dunamis";"Saint-Étienne";"Auvergne-Rhône-Alpes";"N/A";"N/A";"Oui"
"Église Espoir";"Rive-de-Gier";"Auvergne-Rhône-Alpes";"N/A";"N/A";"Oui"
"Église évangélique de Saint-Chamond";"Saint-Chamond";"Auvergne-Rhône-Alpes";"N/A";"N/A";"Oui"
"Église évangélique du Grand Roanne";"Riorges";"Auvergne-Rhône-Alpes";"N/A";"N/A";"Oui"
"Église Pleine Vie";"Andrézieux-Bouthéon";"Auvergne-Rhône-Alpes";"N/A";"N/A";"Oui"
"Assemblée de Dieu";"Monistrol-sur-Loire";"Auvergne-Rhône-Alpes";"N/A";"N/A";"Oui"
"Assemblée de Dieu";"Brioude";"Auvergne-Rhône-Alpes";"N/A";"N/A";"Oui"
"Église évangélique Bonne Nouvelle";"Saint-Germain-Laprade";"Auvergne-Rhône-Alpes";"N/A";"N/A";"Oui"
"Église évangélique de Pentecôte";"Rezé";"Pays de la Loire";"N/A";"N/A";"Oui"
"Église évangélique de Pentecôte";"Ancenis";"Pays de la Loire";"N/A";"N/A";"Oui"
"Église évangélique de Pentecôte";"Nantes";"Pays de la Loire";"N/A";"N/A";"Oui"
"Église protestante évangélique de Châteaubriant";"Châteaubriant";"Pays de la Loire";"N/A";"N/A";"Oui"
"Église protestante évangélique de Saint-Nazaire";"Saint-Nazaire";"Pays de la Loire";"N/A";"N/A";"Oui"
"Assemblée de Dieu";"Montargis";"Centre-Val de Loire";"N/A";"N/A";"Oui"
"Assemblée évangélique";"Briare";"Centre-Val de Loire";"N/A";"N/A";"Oui"
"Église Parole de Vie";"Orléans";"Centre-Val de Loire";"N/A";"N/A";"Oui"
"Centre évangélique";"Cahors";"Occitanie";"N/A";"N/A";"Oui"
"ADD Villeneuve-sur-Lot";"Villeneuve-sur-Lot";"Nouvelle-Aquitaine";"N/A";"N/A";"Oui"
"Assemblée de Dieu de Marmande";"Marmande";"Nouvelle-Aquitaine";"N/A";"N/A";"Oui"
"Assemblée de Dieu de Miramont-de-Guyenne";"Miramont-de-Guyenne";"Nouvelle-Aquitaine";"N/A";"N/A";"Oui"
"Église évangélique ADD Agen";"Agen";"Nouvelle-Aquitaine";"N/A";"N/A";"Oui"
"Centre évangélique Lozérien";"Antrenas";"Occitanie";"N/A";"N/A";"Oui"
"Église évangélique";"Angers";"Pays de la Loire";"N/A";"N/A";"Oui"
"Église évangélique Cholet Lorraine";"Cholet";"Pays de la Loire";"N/A";"N/A";"Oui"
"Église évangélique Vie Nouvelle du Saumurois";"Saumur";"Pays de la Loire";"N/A";"N/A";"Oui"
"Église évangélique";"Torigny-les-Villes";"Normandie";"N/A";"N/A";"Oui"
"Église évangélique";"Granville";"Normandie";"N/A";"N/A";"Oui"
"Église évangélique de Cherbourg – ADD";"Cherbourg En Cotentin";"Normandie";"N/A";"N/A";"Oui"
"Église évangélique protestante – ADD";"Avranches";"Normandie";"N/A";"N/A";"Oui"
"Mission chrétienne évangélique";"Épernay";"Grand Est";"N/A";"N/A";"Oui"
"Mission chrétienne évangélique";"Reims";"Grand Est";"N/A";"N/A";"Oui"
"Mission chrétienne évangélique";"Fagnières";"Grand Est";"N/A";"N/A";"Oui"
"Assemblée de Dieu de Haute-Marne";"Chaumont";"Grand Est";"N/A";"N/A";"Oui"
"Église protestante évangélique";"Saint-Berthevin";"Pays de la Loire";"N/A";"N/A";"Oui"
"Assemblée évangélique de Pentecôte";"Pont-à-Mousson";"Grand Est";"N/A";"N/A";"Oui"
"Assemblée évangélique de Pentecôte de Nancy";"Nancy";"Grand Est";"N/A";"N/A";"Oui"
"ADD Meuse – Église La Victoire";"Bar-le-Duc";"Grand Est";"N/A";"N/A";"Oui"
"Église La Victoire – ADD du Grand Verdun";"Verdun";"Grand Est";"N/A";"N/A";"Oui"
"ECEP – Église chrétienne évangélique de la Pentecôte";"Lorient";"Bretagne";"N/A";"N/A";"Oui"
"Église évangélique de Pentecôte de Séné-Vannes";"Séné";"Bretagne";"N/A";"N/A";"Oui"
"Assemblée évangélique de Pentecôte – ADD Metz";"Metz";"Grand Est";"N/A";"N/A";"Oui"
"Église évangélique";"Thionville";"Grand Est";"N/A";"N/A";"Oui"
"Église évangélique ADD de Stiring-Wendel";"Stiring-Wendel";"Grand Est";"N/A";"N/A";"Oui"
"Église évangélique";"Nevers";"Bourgogne-Franche-Comté";"N/A";"N/A";"Oui"
"Assemblée de Dieu langue portugaise";"Roubaix";"Hauts-de-France";"N/A";"N/A";"Oui"
"Assemblée de Dieu – Église du Littoral Le Phare";"Dunkerque";"Hauts-de-France";"N/A";"N/A";"Oui"
"Église évangélique";"Valenciennes";"Hauts-de-France";"N/A";"N/A";"Oui"
"Église évangélique";"Cambrai";"Hauts-de-France";"N/A";"N/A";"Oui"
"Église évangélique";"Villeneuve-d'Ascq";"Hauts-de-France";"N/A";"N/A";"Oui"
"Église évangélique de Douai";"Douai";"Hauts-de-France";"N/A";"N/A";"Oui"
"Église évangélique de Maubeuge";"Maubeuge";"Hauts-de-France";"N/A";"N/A";"Oui"
"Église Lille Métropole";"Wasquehal";"Hauts-de-France";"N/A";"N/A";"Oui"
"Assemblée de Dieu de Beauvais";"Beauvais";"Hauts-de-France";"N/A";"N/A";"Oui"
"Église évangélique";"Chevrières";"Hauts-de-France";"N/A";"N/A";"Oui"
"Église évangélique";"Nogent-sur-Oise";"Hauts-de-France";"N/A";"N/A";"Oui"
"Centre évangélique La Destinée";"Alençon";"Normandie";"N/A";"N/A";"Oui"
"Église évangélique";"Mortagne-au-Perche";"Normandie";"N/A";"N/A";"Oui"
"Église évangélique";"L'aigle";"Normandie";"N/A";"N/A";"Oui"
"Église évangélique";"Vimoutiers";"Normandie";"N/A";"N/A";"Oui"
"Église évangélique";"Argentan";"Normandie";"N/A";"N/A";"Oui"
"Église évangélique de Flers";"Flers";"Normandie";"N/A";"N/A";"Oui"
"Assemblée de Dieu";"Arras";"Hauts-de-France";"N/A";"N/A";"Oui"
"Centre chrétien évangélique";"Boulogne-sur-Mer";"Hauts-de-France";"N/A";"N/A";"Oui"
"Centre évangélique de Béthune";"Verquin";"Hauts-de-France";"N/A";"N/A";"Oui"
"Église des 2 Caps – ADD de Calais";"Calais";"Hauts-de-France";"N/A";"N/A";"Oui"
"Église évangélique";"Meurchin";"Hauts-de-France";"N/A";"N/A";"Oui"
"Église évangélique";"Saint-Omer";"Hauts-de-France";"N/A";"N/A";"Oui"
"Église évangélique";"Montigny-en-Gohelle";"Hauts-de-France";"N/A";"N/A";"Oui"
"Église évangélique";"Liévin";"Hauts-de-France";"N/A";"N/A";"Oui"
"Église Ressources";"Sains en Gohelle";"Hauts-de-France";"N/A";"N/A";"Oui"
"Assemblée de Dieu langue portugaise";"Clermont-Ferrand";"Auvergne-Rhône-Alpes";"N/A";"N/A";"Oui"
"Église évangélique";"Thiers";"Auvergne-Rhône-Alpes";"N/A";"N/A";"Oui"
"Église évangélique";"Issoire";"Auvergne-Rhône-Alpes";"N/A";"N/A";"Oui"
"Église évangélique";"Riom";"Auvergne-Rhône-Alpes";"N/A";"N/A";"Oui"
"Église évangélique";"Clermont-Ferrand";"Auvergne-Rhône-Alpes";"N/A";"N/A";"Oui"
"Assemblée de Dieu";"Oloron-Sainte-Marie";"Nouvelle-Aquitaine";"N/A";"N/A";"Oui"
"Église évangélique";"Biarritz";"Nouvelle-Aquitaine";"N/A";"N/A";"Oui"
"Église évangélique de Pentecôte";"Mourenx";"Nouvelle-Aquitaine";"N/A";"N/A";"Oui"
"Église Le Phare – ADD Pau";"Lons";"Nouvelle-Aquitaine";"N/A";"N/A";"Oui"
"Centre évangélique";"Tarbes";"Nouvelle-Aquitaine";"N/A";"N/A";"Oui"
"Assemblée de Dieu";"Font-Romeu";"Occitanie";"N/A";"N/A";"Oui"
"Assemblée de Dieu";"Perpignan";"Occitanie";"N/A";"N/A";"Oui"
"Église évangélique ADD de Perpignan";"Perpignan";"Occitanie";"N/A";"N/A";"Oui"
"Assemblée de Dieu de Banyuls";"Banyuls";"Occitanie";"N/A";"N/A";"Oui"
"Église évangélique de Pontoise";"Pontoise";"Île-de-France";"N/A";"N/A";"Oui"
"Assemblée de Dieu de Conflans-Sainte-Honorine";"Conflans-Sainte-Honorine";"Île-de-France";"N/A";"N/A";"Oui"
"Centre évangélique de Pentecôte";"Cergy";"Île-de-France";"N/A";"N/A";"Oui"
"Église évangélique";"Chambéry";"Auvergne-Rhône-Alpes";"N/A";"N/A";"Oui"
"Assemblée de Dieu langue portugaise";"Saint-Étienne";"Auvergne-Rhône-Alpes";"N/A";"N/A";"Oui"
"Assemblée de Dieu langue portugaise";"Lyon";"Auvergne-Rhône-Alpes";"N/A";"N/A";"Oui"
"Église de la Foi";"Villeurbanne";"Auvergne-Rhône-Alpes";"N/A";"N/A";"Oui"
"Centre évangélique";"Villeurbanne";"Auvergne-Rhône-Alpes";"N/A";"N/A";"Oui"
"Église évangélique";"Vénissieux";"Auvergne-Rhône-Alpes";"N/A";"N/A";"Oui"
"Assemblée évangélique de Pentecôte";"Saint-Fons";"Auvergne-Rhône-Alpes";"N/A";"N/A";"Oui"
"Église évangélique Assembly Hall";"Décines-Charpieu";"Auvergne-Rhône-Alpes";"N/A";"N/A";"Oui"
"Église évangélique de Pentecôte";"Saint-Genis-Laval";"Auvergne-Rhône-Alpes";"N/A";"N/A";"Oui"
"Église évangélique protestante";"Écully";"Auvergne-Rhône-Alpes";"N/A";"N/A";"Oui"
"Église évangélique de Pentecôte";"Oullins";"Auvergne-Rhône-Alpes";"N/A";"N/A";"Oui"
"Assemblée de Dieu";"Villefranche-sur-Saône";"Auvergne-Rhône-Alpes";"N/A";"N/A";"Oui"
"Église évangélique";"Belleville-en-Beaujolais";"Auvergne-Rhône-Alpes";"N/A";"N/A";"Oui"
"Église Jeunesse en Marche";"Tarare";"Auvergne-Rhône-Alpes";"N/A";"N/A";"Oui"
"Église évangélique";"Roanne";"Auvergne-Rhône-Alpes";"N/A";"N/A";"Oui"
"Assemblée de Dieu langue portugaise";"Paris";"Île-de-France";"N/A";"N/A";"Oui"
